ymd,hm,ta,weekday,weekend,max_power,spring,summer,autoum,winter,CDD,HDD,multiple_season
2019-02-07,55.95,-0.7,1,0,72824.0,0,0,0,1,0.0,18.915,6270.568879844641
2019-02-08,40.25,-8.77,1,0,79253.0,0,0,0,1,0.0,23.825,10529.572512918818
2019-02-09,39.35,-5.79,0,1,67498.0,0,0,0,1,0.0,22.56,-1365.90284931106
2019-02-10,30.25,-2.56,0,1,65225.0,0,0,0,1,0.0,22.88,-3240.3581002376377
2019-02-11,43.75,-4.515000000000001,1,0,81369.0,0,0,0,1,0.0,20.565,8336.672173887187
2019-02-12,61.65,-2.355,1,0,81684.0,0,0,0,1,0.0,18.59,6431.517434062551
2019-02-13,37.5,-3.53,1,0,80849.0,0,0,0,1,0.0,19.615000000000002,6352.260228945359
2019-02-14,37.6,-3.91,1,0,81477.0,0,0,0,1,0.0,18.4175,9322.799968496352
2019-02-15,81.4,-1.78,1,0,81471.0,0,0,0,1,0.0,18.545,9554.892673165654
2019-02-16,61.3,-3.185,0,1,67769.0,0,0,0,1,0.0,19.7025,-1895.2972979706
2019-02-17,60.25,-1.61,0,1,64033.0,0,0,0,1,0.0,19.135,-4383.200061790544
2019-02-18,56.2,-1.84,1,0,80394.0,0,0,0,1,0.0,17.6425,10762.146922865759
2019-02-19,96.05,0.815,1,0,82869.0,0,0,0,1,0.0,16.26,12484.729801129426
2019-02-20,77.8,1.215,1,0,79777.0,0,0,0,1,0.0,15.545,9692.500445757341
2019-02-21,71.75,-0.4900000000000001,1,0,78291.0,0,0,0,1,0.0,15.52,8194.497383209955
2019-02-22,74.75,0.195,1,0,77656.0,0,0,0,1,0.0,14.105,6845.737141885678
2019-02-23,71.2,2.365,0,1,65016.0,0,0,0,1,0.0,11.355,-4176.48238319981
2019-02-24,86.15,3.035,0,1,60881.0,0,0,0,1,0.0,11.7,-9385.122736258352
2019-02-25,92.45,1.23,1,0,74848.0,0,0,0,1,0.0,12.9175,6415.233356703506
2019-02-26,52.5,1.04,1,0,74488.0,0,0,0,1,0.0,13.3275,6414.405525964786
2019-02-27,50.25,4.855,1,0,74792.0,0,0,0,1,0.0,10.345,5282.692988213298
2019-02-28,71.4,2.99,1,0,73115.0,0,0,0,1,0.0,11.725,6262.808502496214
2019-03-01,52.87918871252205,7.075493827160495,0,1,63532.0,1,0,0,0,0.0,11.767843915343915,-2207.150198663122
2019-03-02,55.50335097001764,6.930731922398589,0,1,60563.0,1,0,0,0,0.0,11.263386243386243,-10462.11917827612
2019-03-03,46.87486772486773,10.182610229276897,0,1,59211.0,1,0,0,0,0.0,9.72160052910053,-9603.104667375468
2019-03-04,63.073721340388005,6.968571428571428,1,0,71880.0,1,0,0,0,0.0,8.588139329805996,1131.425243916069
2019-03-05,83.5810405643739,4.55058201058201,1,0,73603.0,1,0,0,0,0.0,10.746591710758377,3872.206542281843
2019-03-06,68.36746031746031,7.2104497354497346,1,0,73573.0,1,0,0,0,0.0,8.869514991181656,2255.467085047102
2019-03-07,72.55229276895943,5.10141975308642,1,0,72780.0,1,0,0,0,0.0,10.936640211640212,372.9334009814854
2019-03-08,79.96543209876543,0.2909611992945326,1,0,72390.0,1,0,0,0,0.0,12.020167548500883,139.03833898121275
2019-03-09,68.9478835978836,2.0663315696649027,0,1,62527.0,1,0,0,0,0.0,11.337861552028219,-8778.203957089736
2019-03-10,62.11234567901234,9.181552028218697,0,1,59584.0,1,0,0,0,0.0,9.896067019400352,-12046.353117601539
2019-03-11,81.03183421516754,4.341322751322752,1,0,72149.0,1,0,0,0,0.0,12.783099647266313,1761.5771370053706
2019-03-12,82.11393298059964,5.675061728395061,1,0,73773.0,1,0,0,0,0.0,12.65584656084656,1695.9195982678123
2019-03-13,52.63686067019401,3.746287477954145,1,0,74136.0,1,0,0,0,0.0,14.282910052910053,2781.448857043383
2019-03-14,68.41675485008818,0.0806613756613757,1,0,73378.0,1,0,0,0,0.0,13.701635802469136,1838.7527948693178
2019-03-15,79.21746031746031,6.114656084656085,1,0,73568.0,1,0,0,0,0.0,11.358628747795414,2855.819906473123
2019-03-16,83.2189594356261,2.695978835978836,0,1,63088.0,1,0,0,0,0.0,12.21810405643739,-6654.295608810993
2019-03-17,45.40546737213404,7.62420634920635,0,1,59480.0,1,0,0,0,0.0,11.0751278659612,-10589.510362043831
2019-03-18,62.103527336860665,4.000026455026455,1,0,72008.0,1,0,0,0,0.0,11.585432098765432,685.7077140316678
2019-03-19,60.67566137566137,4.04705467372134,1,0,70866.0,1,0,0,0,0.0,8.694435626102292,-894.9988034272637
2019-03-20,74.50617283950618,9.686798941798942,1,0,71675.0,1,0,0,0,0.0,7.29641975308642,769.4383629420895
2019-03-21,92.2110229276896,9.142874779541447,1,0,71884.0,1,0,0,0,0.0,10.410052910052912,648.1858271523238
2019-03-22,64.19003527336861,1.5880246913580247,1,0,71617.0,1,0,0,0,0.0,13.285846560846561,831.1961334903003
2019-03-23,55.62724867724867,2.147204585537919,0,1,62029.0,1,0,0,0,0.0,14.067491181657848,-8824.106632531682
2019-03-24,50.35414462081129,5.796746031746032,0,1,59274.0,1,0,0,0,0.0,13.993999118165785,-11354.16926877865
